"geneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Atp5d"	4606.076751	0.315006569	0.090459566	3.482291408	0.000497142	0.040300172
"Parpbp"	13.42898286	6.866338403	2.171341863	3.162255802	0.00156552	0.090049336
"Mettl25"	441.9989571	-0.820446707	0.23779008	-3.4502983	0.000559967	0.042655898
"Bbs10"	198.1810419	-0.950718975	0.280017663	-3.39521073	0.000685758	0.050202827
"Tph2"	434.7719207	11.39873061	2.001837301	5.694134383	1.24e-08	7.49e-06
"Vwc2"	374.54708	1.304211598	0.321521072	4.056379846	4.98e-05	0.007541518
"Cpeb4"	2078.676717	0.401947656	0.123278612	3.260481677	0.001112232	0.070749332
"Slc22a4"	796.3770166	1.188448644	0.355936224	3.338937048	0.000840996	0.058011134
"Anxa6"	10788.14286	0.480473916	0.131813787	3.645096058	0.000267292	0.025537707
"Gm2a"	7700.022492	0.259568018	0.069140849	3.754191935	0.000173902	0.018042022
"Zfp287"	493.6938318	-0.852853191	0.252069156	-3.383409551	0.000715918	0.051300367
"Zmynd15"	69.45973214	1.735297322	0.526437552	3.296302318	0.000979665	0.064715313
"Tekt1"	10.95218734	7.066304984	2.175120193	3.248696328	0.001159352	0.072080137
"Fam101b"	1232.382694	0.759358366	0.202810628	3.744174429	0.000180988	0.018560362
"Unc119"	490.4505178	1.316352547	0.35790176	3.677971704	0.000235096	0.022980977
"Adap2"	546.5425865	1.188693604	0.319270144	3.723159291	0.000196745	0.019457075
"Mmd"	7364.585533	1.741162858	0.458852891	3.7945993	0.000147882	0.016030987
"Tob1"	2284.003018	0.370582355	0.113670295	3.260151259	0.001113528	0.070749332
"Ngfr"	2430.354732	-0.361506877	0.108903832	-3.31950557	0.00090177	0.060999334
"Atp6v0a1"	4438.045813	0.31663659	0.098318829	3.22050816	0.001279635	0.077841424
"Mrc2"	4310.383926	1.137240481	0.34310213	3.31458298	0.000917799	0.061590892
"Cacng1"	30.07158257	21.58997915	4.486930408	4.811748164	1.5e-06	0.000451813
"Cd300lb"	209.2821475	1.525654714	0.44918853	3.396468548	0.000682614	0.050202827
"Slc25a19"	1662.058267	0.52356996	0.147829965	3.541703886	0.000397551	0.034476888
"Llgl2"	218.0072713	1.055659491	0.315181258	3.349372674	0.000809948	0.056834133
"Slc38a10"	7766.305879	0.409421566	0.116589211	3.511659126	0.000445319	0.037238538
"Slc25a10"	6337.622164	0.488486787	0.123755457	3.947193903	7.91e-05	0.00976055
"Pdia6"	6495.754774	0.270409574	0.078022405	3.465793855	0.000528668	0.041604267
"Mboat2"	2744.291668	-0.462230068	0.119472332	-3.868929828	0.000109314	0.012406783
"Prkar2b"	9772.526421	0.488503568	0.123089149	3.968697251	7.23e-05	0.009433092
"Ptgr2"	3164.068248	0.313316444	0.098577668	3.178371442	0.001481049	0.086068785
"Npc2"	12332.69236	0.607012825	0.103341026	5.873880365	4.26e-09	3.43e-06
"Ttc7b"	1760.602987	0.709078219	0.157287408	4.508169	6.54e-06	0.001579716
"Serpina3m"	40.41517203	3.988976118	1.195138776	3.337667723	0.000844847	0.058011134
"Serpina3n"	6806.060909	0.980769991	0.132260788	7.41542529	1.21e-13	5.13e-10
"Glrx5"	1951.170869	0.697121129	0.101528172	6.866282671	6.59e-12	1.35e-08
"Klf6"	10321.72926	-0.21952724	0.069547965	-3.156486893	0.001596821	0.09153842
"Zmynd11"	5824.185982	-0.261748303	0.06707037	-3.902592221	9.52e-05	0.011176287
"Actn2"	36.05686689	5.064299489	1.554324163	3.258200322	0.001121212	0.070749332
"Zkscan4"	197.2934723	-0.922466607	0.270415244	-3.411296614	0.000646547	0.048379465
"Hfe"	1630.127535	0.805015103	0.21170778	3.802482381	0.000143253	0.01593789
"Gmpr"	81.70304796	2.271365772	0.613622737	3.701567159	0.000214272	0.021067166
"Auh"	1785.573192	0.421187508	0.120194723	3.504209637	0.000457965	0.037595344
"Dok3"	113.7807008	1.987711226	0.584206326	3.402413049	0.000667936	0.04954152
"B4galt7"	406.556972	0.688072636	0.214627378	3.205894058	0.001346436	0.081319896
"Mir7-1"	16.60329413	-5.418635376	1.450417343	-3.735914634	0.000187034	0.018939724
"A230056J06Rik"	11.78053087	5.815874347	1.764163003	3.296676292	0.000978362	0.064715313
"2010111I01Rik"	1981.924593	-0.600788795	0.143878935	-4.175655011	2.97e-05	0.005024763
"Ctsl"	10954.96771	0.640481133	0.169243969	3.784366077	0.000154101	0.016389935
"Nln"	1179.11911	0.572286592	0.143074539	3.999919168	6.34e-05	0.008572405
"Synpr"	86.05849756	1.978704172	0.493368965	4.010597163	6.06e-05	0.008342235
"Appl1"	3182.287971	-0.374733917	0.106742027	-3.510650197	0.000447012	0.037238538
"Sncg"	22928.41062	0.642169397	0.116007082	5.53560511	3.1e-08	1.59e-05
"Fam213a"	6701.474447	0.343722202	0.098944794	3.47387858	0.000512993	0.041114818
"Lgals3"	2974.495203	0.916222043	0.191247805	4.790758469	1.66e-06	0.000484448
"Psmb5"	2108.314134	0.403945985	0.129512669	3.118968882	0.001814851	0.099645941
"Dhrs4"	1129.734798	0.547642362	0.136372424	4.0157852	5.92e-05	0.008342235
"Fitm1"	15.06598803	20.66334025	2.591969312	7.972062073	1.56e-15	1.32e-11
"Gmpr2"	891.4364895	0.473302298	0.134004723	3.531982216	0.000412457	0.035406406
"Ctsb"	40447.83808	0.536481192	0.129310556	4.14878111	3.34e-05	0.005508547
"Stmn4"	50.32976033	-3.50959055	0.766975306	-4.575884678	4.74e-06	0.001196925
"Lrch1"	1599.904512	-0.37268765	0.107840638	-3.455911008	0.000548436	0.042515414
"Mycbp2"	6760.644841	0.380755096	0.096707133	3.937197635	8.24e-05	0.010102326
"C6"	259.3938548	3.17333944	0.81698211	3.884221453	0.000102658	0.011890785
"Nipbl"	4554.574452	-0.31377703	0.092511943	-3.391746183	0.000694487	0.05040548
"Npr3"	6790.04492	2.30967125	0.466343589	4.952724356	7.32e-07	0.000242662
"1700047G03Rik"	208.3909283	8.092090056	1.614070797	5.013466614	5.35e-07	0.000192347
"Dap"	4199.919825	0.401662173	0.09616003	4.177017981	2.95e-05	0.005024763
"Sema5a"	17284.56777	-0.514543248	0.124149483	-4.144546038	3.4e-05	0.005536524
"Dscc1"	20.49582846	6.953557228	1.525659934	4.557737327	5.17e-06	0.001285924
"Gpihbp1"	546.5904221	1.676149725	0.372415481	4.500752008	6.77e-06	0.00161282
"Lgals1"	21341.13469	0.69288956	0.12014807	5.766963735	8.07e-09	5.46e-06
"Slc48a1"	10661.90874	0.329600957	0.077103175	4.274803944	1.91e-05	0.003594632
